tech,client
OPENID,GOR-CORE 
OPENLDAP,UAL
OPENOFFICE,AQS-Himoinsa-GOR-CORE-Pujante-UAL
OPENSSH,UAL-ITRES
OPENSTACK,UAL
OPENVPN,UAL-ITRES
OPERA,ALL
ORACLE,UAL-GOR
ORACLE DATABASE,UAL
ORACLE OHS,UAL
ORACLE ORDS,UAL
ORACLE REPORTS,UAL
OSX,AQS-Himoinsa-GOR-CORE-Pujante
OTRS,UAL-ITRES
PALOALTO,AQS
PALOALTO VPN CLIENT,ITRES
PALO ALTO, ALL
PANDORA,Himoinsa-S4N
PERCONA,S4N
PHP,AQS-Himoinsa-GOR-CORE-Pujante-UAL-S4N
PHPMYADMIN,AQS-Himoinsa-GOR-CORE-Pujante-UAL
PLESK,S4N
POLICYD,UAL
POLYLANG,GOR
POSTFIX,UAL-S4N
POSTGRESQL,AQS-ITRES-UAL-S4N
POWER BI DESKTOP,GOR
POWER BI,Himoinsa
POWERDNS,S4N
PROLIANT,GOR
PROXMOX,S4N
PUBLISHPRESS,GOR
QLIK,AQS-ITRES
QNAP,AQS-GOR-Pujante
QUICKBOOKS,AQS-ITRES
RABBITMQ,CORE-UAL-GOR
RALPH,AQS-ITRES
RANCHER,UAL-GOR
RANK MATH SEO,GOR
RDM,ITRES
RED HAT,ALL
REDIS,CORE-UAL-GOR
RELEVANSSI,GOR
REST,UAL
RHSA,ITRES-UAL-GOR
ROUTEROS,S4N
RVTOOLS,AQS-Himoinsa-GOR-CORE-Pujante-UAL-S4N
SAFARI,ALL
SALESFORCE,AQS
SAP,AQS-ITRES
SEAGULL,Himoinsa
SEAM,UAL
SIMPLE CUSTOM,GOR
SKYPE,UAL
SLIDER REVOLUTION,GOR
SOAP,UAL
SONARSOURCE,UAL
SOPHOS CONNECT,ITRES
SOURCESAFE,GOR
SOURCETREE,UAL
SPARK,GOR
SPRING,ALL
SQL SERVER,ALL
SQL SERVER ANALYSIS SERVICES,GOR
SQL SERVER INTEGRATION SERVICES,GOR
SQL SERVER REPORTING SERVICES,GOR
SUBLIME TEXT,ALL
SUSE,Himoinsa-ITRES
SYMPA,UAL
SYNOLOGY,GOR-UAL-ITRES
TALKDESK,AQS
TEAMVIEWER,AQS-Himoinsa-GOR-CORE-Pujante-UAL
THINKAGILE,GOR
THINKSYSTEM,GOR-UAL
TIGHTVNC,UAL
TOMCAT,AQS-Pujante-UAL
TRAEFIK,GOR
UBIQUITI,AQS-GOR-ITRES
UBUNTU,AQS-Himoinsa-GOR-CORE-Pujante-UAL-S4N-ITRES
UDS,UAL
UNIFI,GOR-CORE-ITRES-AQS
USN,AQS-Himoinsa-GOR-CORE-Pujante-UAL
UTMS CARRY PAGES,GOR
VEEAM,AQS-Himoinsa-GOR-CORE-Pujante-UAL-S4N-ITRES
VELAZQUEZ,AQS
VIRTUALBOX,ALL
VISUAL STUDIO,ALL
VIVALDI,ALL
VMWARE,AQS-Himoinsa-GOR-CORE-Pujante-UAL-S4N-ITRES
VMWARE ESX,AQS-Himoinsa-GOR-CORE-Pujante-UAL
VMWARE PHOTON OS,AQS-Himoinsa-GOR-CORE-Pujante-UAL
VMWARE VSPHERE,AQS-Himoinsa-GOR-CORE-Pujante-UAL
VMWARE WORKSTATION,ALL
VNC,AQS-S4N-Himoinsa
VSFTPD,UAL
WEBSENSE,UAL
WILDFLY,UAL
WINDOWS,AQS-Himoinsa-GOR-CORE-Pujante-UAL-S4N
WINDOWS DEFENDER,AQS-Himoinsa-GOR-CORE-Pujante-UAL
WINDOWS IIS SERVER,ALL
WINDOWS SERVER,ALL
WINRAR,ITRES
WIREDGUARD,ITRES
WORDPRESS,UAL-GOR-PUJANTE-ITRES
WORKSPACE,S4N
WP MAIL LOGGING,GOR
WP MAIL SMTP,GOR
WPO365,?????
ZABBIX,AQS-S4N-ITRES-UAL
ZNUNY,ITRES
ZOOM,AQS
ADOBE PHOTOSHOP,UAL
ADOBE AIR,UAL
